name,id,amount,last_price,day_change
arweave,AR,686,14.02,1.462027252
iota,IOTA,22386,0.305492,-0.8618766329
pha,PHA,144270,0.124732,1.857779694
republic-protocol,REN,65005,0.146258,-0.03492997761
monero,XMR,61,149.99,0.1264685495
sushi,SUSHI,0,1.36,-0.2091519425
civic,CVC,35938,0.144807,0.8080266508
trustswap,SWAP,22000,0.228067,1.579727236
oraichain-token,ORAI,433,2.16,-2.754748874
omisego,OMG,2380,2.08,-2.089511089
crypto-com-chain,CRO,494717,0.129487,-2.349807052
algorand,ALGO,15000,0.340907,-0.4824434725
matic-network,MATIC,22236,0.872996,0.7736528657
solana,SOL,824,40.76,-1.558827039
ethereum,ETH,186,1605.98,1.485425225
polkastarter,POLS,23781,0.593996,-3.947300608
aave,AAVE,51,91.68,0.01668732232
dogecoin,DOGE,75993,0.068709,-0.4911144569
terra-luna,LUNA,2836,0.00010035,-0.005846325767
neo,NEO,2035,10.15,-4.638926398
bitcoin,BTC,5,22718,-0.4241711963
status,SNT,42311,0.03101816,-0.3240200309
stellar,XLM,70598,0.113746,0.8099761298
polkadot,DOT,15568,7.47,0.535975274
chiliz,CHZ,55978,0.109994,1.106006438
cardano,ADA,54856,0.51756,5.116997046
polkadex,PDEX,2167,1.33,0.09092976093
avalanche-2,AVAX,3490,24.06,-1.735422519
dash,DASH,35,48.94,-1.527439128
ethereum-classic,ETC,438,26.21,-4.622465772
binancecoin,BNB,1,262.64,-1.841584934
ripple,XRP,28161,0.3614,0.1820286353
